2026-01-22 16:49:05 | INFO     | root:setup_logging:75 | ================================================================================
2026-01-22 16:49:05 | INFO     | root:setup_logging:76 | Logging initialized | Level: INFO | File: logs\pipeline_20260122.log
2026-01-22 16:49:05 | INFO     | root:setup_logging:77 | ================================================================================
2026-01-22 16:49:05 | INFO     | __main__:<module>:103 | Initializing YouTube Pipeline...
2026-01-22 16:49:05 | INFO     | src.models.source_tracker:load_sources:31 | Loaded 1 source(s) from youtube_sources.csv
2026-01-22 16:49:06 | INFO     | __main__:run:67 | 
================================================================================
2026-01-22 16:49:06 | INFO     | __main__:run:68 | YOUTUBE PIPELINE STARTED
2026-01-22 16:49:06 | INFO     | __main__:run:69 | ================================================================================
2026-01-22 16:49:06 | INFO     | __main__:run:73 | 
Total sources to process: 1
2026-01-22 16:49:06 | INFO     | __main__:run:76 | 
################################################################################
2026-01-22 16:49:06 | INFO     | __main__:run:77 | SOURCE 1/1: LinusTechTips
2026-01-22 16:49:06 | INFO     | __main__:run:78 | ################################################################################
2026-01-22 16:49:06 | INFO     | src.models.yt_channel_resolver:get_channel_id:20 | Resolving channel ID for: https://www.youtube.com/@LinusTechTips
2026-01-22 16:49:09 | INFO     | src.models.youtube_finder:find_new_videos:53 | Using last_checked time: 2026-01-01 00:00:00+00:00
2026-01-22 16:49:09 | INFO     | src.models.youtube_finder:find_new_videos:59 | Fetching RSS feed from: https://www.youtube.com/feeds/videos.xml?channel_id=UCXuqSBlHAE6Xw-yeJA0Tunw
2026-01-22 16:49:10 | INFO     | src.models.youtube_finder:find_new_videos:76 | Channel: Linus Tech Tips
2026-01-22 16:49:10 | INFO     | src.models.youtube_finder:find_new_videos:77 | Total entries in RSS feed: 15
2026-01-22 16:49:10 | INFO     | src.models.youtube_finder:find_new_videos:104 |   ✓ New video found: 'I Bought the Tech House and it Has a PROBLEM…'
2026-01-22 16:49:10 | INFO     | src.models.youtube_finder:find_new_videos:105 |     Published: 2026-01-21 18:05:10+00:00
2026-01-22 16:49:10 | INFO     | src.models.youtube_finder:find_new_videos:131 |     Video ID: sPU6wVz2iE8
